actor,skådespelare
actress,skådespelerska
author,författare
baker,bagare
baker's shop,bageri
bookseller,bokhandlare
bookshop,bokaffär
businessman,affärsman
butcher,slaktare
pharmacist,farmaceut
pharmacy,apotek (n)
cook,"kock, kokerska"
customer,kund
dentist,tandläkare
doctor,"läkare, doktor"
employee,"anställd, arbetstagare"
engineer,ingenjör
fisherman,fiskare
gardener,trädgårdsmästare
hairdresser,hårfrisör
jeweler,juvelerare
journalist,journalist
judge,domare
lawyer,advokat
mechanic,"mekaniker, montör"
musician,musiker
nurse,sjuksköterska
official,ämbetsman
optician (eye doctor),optiker
painter,målare
photographer,fotograf
policeman,polis
postman,brevbärare
priest,präst
publisher,förläggare
scientist,vetenskapsman
shoemaker,skomakare
"shop, store",butik
singer,"sångare, sångerska"
student,student
surgeon,kirurg
tailor,skräddare
teacher,lärare
workman,arbetare
